State,2024 (C-CPI-U Dollars),Preceding Period,Year Ago
United States,83730,82690,82690
Alabama,65560,62230,62230
Alaska,91260,100700,100700
Arizona,84700,84800,84800
Arkansas,64840,64880,64880
California,100600,92200,92200
Colorado,106500,99140,99140
Connecticut,99240,94620,94620
Delaware,85860,88570,88570
District of Columbia,104800,113900,113900
Florida,75630,74070,74070
Georgia,81210,74290,74290
Hawaii,98240,99880,99880
Idaho,81650,75820,75820
Illinois,84210,90090,90090
Indiana,76710,78900,78900
Iowa,85480,82950,82950
Kansas,87690,87030,87030
Kentucky,64790,63590,63590
Louisiana,60740,59140,59140
Maine,90730,77700,77700
Maryland,109700,104600,104600
Massachusetts,113900,109300,109300
Michigan,79460,78950,78950
Minnesota,92350,92680,92680
Mississippi,55980,56490,56490
Missouri,78390,80310,80310
Montana,81920,81270,81270
Nebraska,86140,91500,91500
Nevada,80590,83410,83410
New Hampshire,111800,101300,101300
New Jersey,103500,93960,93960
New Mexico,64140,62560,62560
New York,86830,83710,83710
North Carolina,67220,70390,70390
North Dakota,88080,78950,78950
Ohio,80520,75680,75680
Oklahoma,65310,69070,69070
Oregon,89700,91030,91030
Pennsylvania,80060,81880,81880
Rhode Island,92290,83980,83980
South Carolina,76780,70890,70890
South Dakota,79850,83860,83860
Tennessee,75860,74580,74580
Texas,81490,81110,81110
Utah,104000,103800,103800
Vermont,85260,87400,87400
Virginia,97720,98990,98990
Washington,97500,95850,95850
West Virginia,63150,61970,61970
Wisconsin,82560,81750,81750
Wyoming,78680,79200,79200
